SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster,K8_cluster,K9_cluster,K10_cluster
98933.0,1,2,1,4,1,4,1,1,7
98944.0,0,1,0,2,2,5,0,2,8
98948.0,0,1,0,2,2,5,0,2,8
98951.0,0,1,2,3,4,3,3,3,2
98981.0,1,0,1,1,1,4,5,5,5
98988.0,0,1,2,0,5,2,2,4,1
98994.0,0,0,3,2,2,5,4,7,9
99001.0,0,0,3,2,2,5,0,6,0
99005.0,0,1,2,3,4,3,3,3,2
99023.0,1,0,3,1,3,6,7,6,5
99028.0,1,2,2,3,0,0,1,8,4
99067.0,1,0,3,1,3,6,4,5,5
99089.0,1,2,1,4,1,0,1,1,7
99099.0,0,1,2,3,4,3,3,3,2
99108.0,1,0,1,1,3,4,5,5,3
99110.0,1,2,1,4,1,4,5,1,7
99114.0,1,0,3,1,3,6,7,6,0
99121.0,0,1,2,3,0,3,3,0,6
99136.0,0,2,2,3,4,0,7,6,0
99138.0,1,0,3,1,3,0,7,6,0
99153.0,1,2,1,4,1,4,5,5,3
99154.0,0,1,0,2,2,5,0,2,9
99160.0,1,2,2,3,0,0,1,8,4
99167.0,1,2,2,4,0,0,1,8,4
99171.0,0,0,3,2,2,5,4,7,9
99197.0,1,2,1,4,1,4,5,1,7
99224.0,0,2,2,3,4,3,3,8,4
99237.0,1,2,1,4,0,1,6,8,4
99246.0,0,2,2,3,0,0,3,8,4
99247.0,1,0,3,1,3,6,7,6,0
99251.0,0,0,3,2,2,5,4,7,9
99260.0,0,1,2,3,4,3,3,3,2
99279.0,0,2,2,3,4,0,3,8,4
99291.0,0,1,0,0,5,2,2,4,1
99305.0,0,1,0,0,5,2,2,4,1
99315.0,1,0,3,1,3,4,5,5,5
99316.0,1,0,3,1,3,6,4,7,5
99318.0,1,2,1,4,1,4,5,5,7
99320.0,1,2,1,4,1,4,5,1,7
99321.0,1,0,3,1,3,6,4,7,5
99322.0,0,2,2,3,0,1,6,0,6
99335.0,1,0,3,1,3,6,7,6,0
99338.0,1,2,2,3,0,0,1,8,4
